# Glossary in tab-separated format -*- coding: utf-8 -*-
Devil's Crossing	Чортове Перехрестя	Локація
rift	розрив	Портал, через який можна переміститися до іншого такого ж порталу.
Abomination	Гидота
Mrs. Constance	Місіс Констанція
Alicia	Аліція
Silas	Сілас
Tutorial Tip	Підказка
Tip	Підказка
Annabel	Анабель
Warden	Наглядач
Homestead	Садиба
Barnabas	Барнабас
Burrwitch	Бурвіч
riftgate	розрив
Somer	Сомер
Black Legion	Чорний Легіон
Infested Farms	Заражені Ферми
Rotten Croplands	Гнилі Угіддя
Gruesome Harvest	Жахливі Жнива
Ulgrim	Ульґрім
Aetherials	Етеріали
Scrap	Брухт
Dead	Мертв'як
Lower Crossing	Нижнє Перехрестя
Cronley	Кронлі
quest	квест
Cairn	Керн
Amalgamation	Мішанина
Lumber Mill	Лісопилка
Serriv	Серрів
Black Legion	Чорний Легіон
Blood Grove	Кривавий гай
Sergeant Serriv	Сержант Серрів
Captain Somer	Капітан Сомер
Burial Hill	Могильна гора
Grim Dawn	Похмурий світанок
Mud Row	Болотяний Квартал
Hargate	Гаргейт
rifthound	розривний пес
Reanimator	Реаніматор
Burrwitch Estates	Маєток Бурвіч
